layout_id,layout_name,trans_types,pos,len,field,desc
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",1,2,Trans_Type,交易別
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",3,2,Host_ID,銀行別
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",5,6,Invoice_No,EDC 簽單調閱編號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",11,19,Card_No,信用卡卡號 (左靠右補空白)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",30,4,Card_Expire_Date,信用卡有效期 (全部空白)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",34,12,Trans_Amount,交易金額
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",46,6,Trans_Date,交易日期
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",52,6,Trans_Time,交易時間
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",58,9,Approval_No,授權碼 (左靠右補空白)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",67,12,Auth_Amount,預先授權金額
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",79,4,ECR_Response_Code,通訊回應碼
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",91,12,Reference_No,銀行交易序號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",103,12,Exp_Amount,其他金額
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",115,18,Store_Id,專櫃號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",133,2,Start Get PAN,"交易別 (SALE 01, REFUND 02)"
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",135,3,Issuer Id,發卡代號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",138,1,CardType,卡片代碼
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",139,4,Filler,保留
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",143,1,Only_Credit/CUP,強制信用卡/銀聯卡
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",144,1,Filler,保留
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",145,50,Encrypted Card Number,加密卡號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",195,16,Cancel Debt Number,銷帳編號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",211,6,STAN,端末交易序號 (支付寶)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",217,16,Order_Num,訂單編號 (支付寶)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",233,16,Old Order_Num,原訂單編號 (支付寶)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",249,14,Old Trans_Time,原交易時間 (支付寶)
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",263,32,ALIPAY_ID,支付寶條碼
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",295,4,Host_Response_Code,信用卡主機回應碼
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",299,15,EDC_Merchant_ID,EDC 商店代號
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",314,5,Filler,保留
3.1.1,一般交易 (含支付寶),"01,02,22,23,24,25,30,60,62,70",319,30,Additional Information,附加資料 (左靠右補空白)
